"female","cg","sc","hsg","mw","so","we","ne","exp1","exp2","exp3","wage"
0,0,1,0,0,0,0,1,15,2.25,3.375,6.10714285714286
1,0,0,1,0,0,0,1,6,0.36,0.216,11.75625
1,0,1,0,0,0,0,1,7.5,0.5625,0.421875,9.61875
0,0,0,1,0,0,0,1,26,6.76,17.576,13.5375
1,0,1,0,0,0,0,1,28,7.84,21.952,13.18125
1,0,1,0,0,0,0,1,5.5,0.3025,0.166375,8.90625
1,0,1,0,0,0,0,1,25,6.25,15.625,25.4464285714286
1,0,0,1,0,0,0,1,16,2.56,4.096,8.55
1,1,0,0,0,0,0,1,6,0.36,0.216,16.2857142857143
1,1,0,0,0,0,0,1,19,3.61,6.859,15.40745625
1,1,0,0,0,0,0,1,6,0.36,0.216,24.58125
1,1,0,0,0,0,0,1,4,0.16,0.064,12.1125
0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,17.8125
1,1,0,0,0,0,0,1,4,0.16,0.064,16.1931818181818
1,0,1,0,0,0,0,1,10,1,1,16.03125
1,0,1,0,0,0,0,1,16.5,2.7225,4.492125,11.67075
1,0,1,0,0,0,0,1,7.5,0.5625,0.421875,17.8125
0,1,0,0,0,0,0,1,16,2.56,4.096,14.25
1,0,1,0,0,0,0,1,5,0.25,0.125,5.5575
0,1,0,0,0,0,0,1,2,0.04,0.008,25.65
0,0,0,1,0,0,0,1,21,4.41,9.261,13.18125
0,0,0,1,0,0,0,1,15,2.25,3.375,18.525
1,0,1,0,0,0,0,1,16.5,2.7225,4.492125,20.748
0,0,0,1,0,0,0,1,22,4.84,10.648,8.14285714285714
1,0,1,0,0,0,0,1,10.5,1.1025,1.157625,11.75625
0,1,0,0,0,0,0,1,8,0.64,0.512,12.825
1,1,0,0,0,0,0,1,4,0.16,0.064,18.6906976744186
0,0,0,1,0,0,0,1,8,0.64,0.512,22.0875
1,0,1,0,0,0,0,1,21,4.41,9.261,11.856
